股票代码,股票简称,现价(元),涨跌幅(%),同花顺三级行业龙头,所属同花顺行业,营业收入(元)2018.03.31,总市值(元)2018.06.01,净利润／营业总收入(%)2018.03.31,扣除非经常性损益后的净利润(元)2018.03.31
600811.SH,东方集团,--,--,综合Ⅲ,综合-综合-综合Ⅲ,1742316256.14,15972677333.20,8.61,164661248.86
600054.SH,黄山旅游,13.20,-0.23,自然景点,餐饮旅游-景点及旅游-自然景点,245100044.11,8660742224.40,33.00,32144000.34
002081.SZ,金螳螂,12.09,0.42,装饰园林,建筑材料-建筑装饰-装饰园林,5065860066.49,31825436615.56,10.54,541291914.54
600704.SH,物产中大,6.09,0.17,专业连锁,商业贸易-贸易-贸易Ⅲ,54242041463.74,26184629095.36,1.90,343703188.92
601618.SH,中国中冶,3.70,0.27,专业工程,建筑材料-建筑装饰-专业工程,55197434000.00,71386452069.30,3.55,1564451000.00
600612.SH,老凤祥,38.40,-0.26,珠宝首饰,轻工制造-家用轻工-珠宝首饰,14125226405.93,16615062659.00,3.16,319267995.98
600320.SH,振华重工,4.63,0.22,重型机械,机械设备-专用设备-重型机械,4689586634.00,17975905674.77,1.16,72514677.00
000998.SZ,隆平高科,21.24,-0.09,种子生产,农林牧渔-种植业与林业-种子生产,814006828.63,26706698769.24,31.39,115708137.83
002583.SZ,海能达,9.95,0.51,终端设备,信息设备-通信设备-终端设备,1222840736.83,17988160690.31,-8.50,-108077528.91
600518.SH,康美药业,25.81,0.55,中药Ⅲ,医药生物-中药-中药Ⅲ,9135184162.23,127689091837.25,15.51,1416925391.25
000811.SZ,冰轮环境,6.11,-0.49,制冷空调设备,机械设备-通用设备-制冷空调设备,633731084.42,4009752487.14,-3.59,-24279789.41
600030.SH,中信证券,18.64,0.32,证券Ⅲ,金融服务-证券-证券Ⅲ,9711536102.96,219247687494.19,28.81,2674062824.62
002172.SZ,澳洋科技,5.76,2.13,粘胶,化工-化工合成材料-粘胶,1173333019.27,3984143725.68,0.91,1696606.41
000488.SZ,晨鸣纸业,14.07,-0.07,造纸Ⅲ,轻工制造-造纸-造纸Ⅲ,7241811895.12,23360066243.20,10.78,733118818.26
600663.SH,陆家嘴,16.16,0.00,园区开发Ⅲ,房地产-园区开发-园区开发Ⅲ,1296406256.79,48120724177.34,88.96,668113113.63
600637.SH,东方明珠,17.49,0.92,有线电视网络,信息服务-通信服务-有线电视网络,2798909909.81,45799315159.44,17.25,342509145.66
600583.SH,海油工程,5.85,-1.52,油气钻采服务,采掘-采掘服务-油气钻采服务,1256190911.81,26218633964.00,-28.79,-401206113.79
002739.SZ,万达电影,--,--,影视动漫,信息服务-传媒-影视动漫,4249740641.34,61110310446.96,12.73,523574704.78
300058.SZ,蓝色光标,5.90,0.68,营销服务,信息服务-传媒-营销服务,5024165893.82,12787049872.92,3.20,112089303.90
600183.SH,生益科技,8.73,-0.68,印制电路板,电子-半导体及元件-印制电路板,2828271449.20,18651033551.15,9.22,250004425.66
002611.SZ,东方精工,10.99,0.55,印刷包装机械,机械设备-专用设备-印刷包装机械,854251183.72,12560257974.55,1.50,9772889.86
600987.SH,航民股份,10.29,1.48,印染,纺织服装-纺织制造-印染,833446940.86,6442043400.00,14.71,95576161.58
601398.SH,工商银行,5.67,0.71,银行Ⅲ,金融服务-银行-银行Ⅲ,197198000000.00,1982083551462.30,40.10,77795000000.00
000901.SZ,航天科技,18.16,0.06,仪器仪表,机械设备-仪器仪表-仪器仪表,1377776096.43,7431707693.85,-0.51,-12377351.60
601607.SH,上海医药,25.73,-0.54,医药商业Ⅲ,医药生物-医药商业-医药商业Ⅲ,36386104395.22,67425660042.66,3.28,995783313.86
300003.SZ,乐普医疗,36.61,-1.98,医疗器械Ⅲ,医药生物-医疗器械服务-医疗器械Ⅲ,1435819242.16,66455653953.30,23.25,297982043.24
300015.SZ,爱尔眼科,31.57,-1.62,医疗服务Ⅲ,医药生物-医疗器械服务-医疗服务Ⅲ,1746635512.33,76572328464.28,13.54,208785121.58
600582.SH,天地科技,4.13,-0.72,冶金矿采化工设备,机械设备-专用设备-冶金矿采化工设备,2974161890.46,17175143901.80,2.02,38722485.99
002714.SZ,牧原股份,51.24,-1.08,畜禽养殖,农林牧渔-养殖业-畜禽养殖,2755526839.54,60019991707.17,4.94,139334744.89
002563.SZ,森马服饰,13.41,-2.33,休闲服装,纺织服装-服装家纺-休闲服装,2512397317.10,36926201223.20,12.25,282356067.03
601016.SH,节能风电,3.31,-0.90,新能源发电,公用事业-电力-新能源发电,610576994.94,13879570400.00,36.85,192302133.89
603001.SH,奥康国际,14.74,-0.87,鞋帽,纺织服装-服装家纺-鞋帽,868017294.95,5962572600.00,13.78,110673897.43
603993.SH,洛阳钼业,7.08,-1.40,小金属,有色金属-有色冶炼加工-小金属,7432136600.00,142115916367.77,24.97,1557957400.00
002508.SZ,老板电器,36.78,0.30,小家电,家用电器-白色家电-小家电,1591941726.40,34801033692.75,18.97,253208679.16
000725.SZ,京东方A,4.07,0.50,显示器件Ⅲ,电子-光学光电子-显示器件Ⅲ,21566813037.00,139471886212.64,8.98,966342404.00
000418.SZ,小天鹅A,69.11,1.51,洗衣机,家用电器-白色家电-洗衣机,6811940933.68,37286730289.89,8.36,501731839.62
002352.SZ,顺丰控股,47.42,-1.21,物流Ⅲ,交通运输-物流-物流Ⅲ,20569946865.03,211851464880.00,4.77,896814223.49
300285.SZ,国瓷材料,19.55,1.35,无机盐,有色金属-新材料-非金属新材料,323187251.14,11547212040.60,24.34,69010931.51
002678.SZ,珠江钢琴,10.18,1.29,文娱用品,轻工制造-家用轻工-文娱用品,479314264.56,10500860959.35,10.52,50441336.36
600063.SH,皖维高新,3.04,1.00,维纶,化工-化工合成材料-维纶,1209288396.55,5796943022.92,1.79,18814061.17
002361.SZ,神剑股份,4.35,0.00,涂料油漆油墨制造,化工-化学制品-涂料油漆油墨制造,353584307.29,3752290842.60,5.95,17476970.94
600362.SH,江西铜业,16.60,0.97,铜,有色金属-有色冶炼加工-铜,50611607557.00,46922049917.35,1.63,762411684.00
600050.SH,中国联通,5.50,1.29,通信运营Ⅲ,信息服务-通信服务-通信运营Ⅲ,74935058630.00,168481017460.41,3.98,1298267367.00
300017.SZ,网宿科技,11.01,0.00,通信配套服务,信息设备-通信设备-通信配套服务,1527080272.16,26786970963.90,13.58,203035567.74
000063.SZ,中兴通讯,--,--,通信传输设备,信息设备-通信设备-通信传输设备,28879881000.00,123413842221.74,6.18,1368023000.00
601006.SH,大秦铁路,8.51,0.71,铁路运输Ⅲ,交通运输-公路铁路运输-铁路运输Ⅲ,17973277434.00,125475720184.04,22.74,4112655815.00
601766.SH,中国中车,9.13,0.44,铁路设备,交运设备-非汽车交运-铁路设备,32922913000.00,246551018482.93,4.66,1010037000.00
600507.SH,方大特钢,11.88,0.42,特钢,黑色金属-钢铁-特钢,3862859022.23,17151979667.55,14.53,556357203.05
002442.SZ,龙星化工,11.03,0.00,炭黑,化工-化工合成材料-炭黑,680160032.14,5294400000.00,4.69,31146160.98
000876.SZ,新希望,7.10,0.00,饲料Ⅲ,农林牧渔-农产品加工-饲料Ⅲ,14806709023.64,29933706563.90,5.63,602658696.25
002404.SZ,嘉欣丝绸,6.55,0.31,丝绸,纺织服装-纺织制造-丝绸,752188504.11,3772208875.73,4.35,961244.66
601158.SH,重庆水务,6.35,0.16,水务Ⅲ,公用事业-燃气水务-水务Ⅲ,976338577.38,30432000000.00,32.75,290662044.29
600585.SH,海螺水泥,34.65,1.14,水泥制造,建筑材料-建筑材料-水泥制造,18766521999.00,188295880126.14,26.12,4673768161.00
600900.SH,长江电力,16.89,0.66,水电,公用事业-电力-水电,8149471394.12,369160000000.00,34.76,2705372620.20
002447.SZ,晨鑫科技,--,--,水产养殖,信息服务-传媒-其他传媒,153885789.98,7093149210.00,46.62,72064440.58
600089.SH,特变电工,7.40,-4.52,输变电设备,机械设备-电气设备-输变电设备,8006654273.47,28750251586.86,8.58,401865755.44
300146.SZ,汤臣倍健,--,--,食品综合,食品饮料-食品加工制造-食品综合,1067528780.45,24385862808.00,35.69,368638242.42
000096.SZ,广聚能源,10.63,-1.21,石油贸易,化工-基础化学-石油贸易,382958676.32,5681280000.00,3.85,14062774.28
601857.SH,中国石油,7.99,-0.13,石油开采Ⅲ,采掘-石油矿业开采-石油开采Ⅲ,542654000000.00,1407039293123.80,2.80,12348000000.00
600028.SH,中国石化,7.06,0.86,石油加工,化工-基础化学-石油加工,621251000000.00,829143507881.38,3.95,17982000000.00
600196.SH,复星医药,43.29,-0.46,生物制品Ⅲ,医药生物-生物制品-生物制品Ⅲ,5719203063.69,106513334214.19,14.65,526784216.07
600066.SH,宇通客车,22.08,0.00,商用载客车,交运设备-汽车整车-商用载客车,4659150474.48,48905917436.07,6.40,272176929.35
000550.SZ,江铃汽车,13.06,0.38,商用载货车,交运设备-汽车整车-商用载货车,6481073238.00,9598205141.60,2.37,71898849.00
600415.SH,小商品城,5.11,0.00,商业物业经营,商业贸易-零售-商业物业经营,807235699.98,27760392297.60,89.27,205815119.57
000848.SZ,承德露露,11.26,-0.35,软饮料,食品饮料-饮料制造-软饮料,895593873.57,11047973199.12,24.41,218605000.53
600271.SH,航天信息,26.75,-1.00,软件开发及服务,信息服务-计算机应用-软件开发及服务,5471331192.95,50334256987.00,5.44,183673000.00
600887.SH,伊利股份,30.59,1.29,乳品,食品饮料-食品加工制造-乳品,19575653902.94,183631261687.68,10.66,1997947007.12
000895.SZ,双汇发展,28.58,-0.24,肉制品,食品饮料-食品加工制造-肉制品,11994431962.78,94532344836.60,9.23,1010469410.40
600315.SH,上海家化,43.90,1.15,日用化学产品,化工-化学制品-日用化学产品,1860297290.99,29118782262.45,8.10,150515950.88
300144.SZ,宋城演艺,22.84,-0.78,人工景点,餐饮旅游-景点及旅游-人工景点,711858013.42,33424505478.00,44.89,294030810.44
600578.SH,京能电力,3.55,-1.11,热电,公用事业-电力-热电,2854877273.93,24220776700.63,3.03,139568983.30
600681.SH,百川能源,13.29,-0.15,燃气Ⅲ,公用事业-燃气水务-燃气Ⅲ,1597037649.80,13729448584.83,18.41,270764651.80
000531.SZ,穗恒运A,5.96,0.00,燃机发电,公用事业-电力-火电,685688278.41,4083093607.20,1.53,6769308.23
600338.SH,西藏珠峰,25.70,-0.85,铅锌,有色金属-有色冶炼加工-铅锌,554878802.77,16925948256.96,40.32,225444631.24
600741.SH,华域汽车,24.23,-0.49,汽车零部件Ⅲ,交运设备-汽车零部件-汽车零部件Ⅲ,40248430227.84,76800356250.24,9.15,1601740076.63
600297.SH,广汇汽车,6.65,-0.15,汽车服务,交运设备-交运设备服务-汽车服务,39468763553.94,54241102482.12,3.38,1079890777.68
600499.SH,科达洁能,8.09,-0.25,其它专用机械,机械设备-专用设备-其它专用机械,1531113849.18,12806910300.24,12.68,147347500.00
000039.SZ,中集集团,15.76,1.03,其它通用机械,机械设备-通用设备-金属制品,19253639000.00,36675293696.62,3.03,170937000.00
000810.SZ,创维数字,8.07,0.50,其它视听器材,家用电器-视听器材-其它视听器材,1834863803.51,8591267128.40,3.75,62885000.76
600108.SH,亚盛集团,3.35,0.00,其他种植业,农林牧渔-种植业与林业-其他种植业,507821764.48,6522165655.35,5.35,24222603.63
002224.SZ,三力士,6.83,0.29,其他橡胶制品,化工-化工合成材料-其他橡胶制品,180465435.95,4481427403.38,10.07,28271365.90
600810.SH,神马股份,13.11,-0.23,其他纤维,化工-化工合成材料-其他纤维,2775453911.43,5811559200.00,5.76,100636258.03
600804.SH,鹏博士,15.41,-1.22,其他网络服务,信息设备-通信设备-通信配套服务,1761422867.58,22346321384.40,5.12,86815915.16
002450.SZ,康得新,--,--,其他塑料制品,化工-化工合成材料-其他塑料制品,3550359888.69,60470339388.76,20.18,705910020.62
600298.SH,安琪酵母,37.04,1.09,其他农产品加工,农林牧渔-农产品加工-其他农产品加工,1630322223.69,30235529798.67,17.39,263974342.57
002646.SZ,青青稞酒,14.40,-1.50,其他酒类,食品饮料-饮料制造-其他酒类,475362515.80,6592500000.00,17.96,86290386.74
603766.SH,隆鑫通用,5.84,-0.17,其他交运设备,交运设备-非汽车交运-其他交运设备,2400570072.72,12361502497.50,9.38,204878138.02
000786.SZ,北新建材,21.86,0.74,其他建材,建筑材料-建筑材料-其他建材,2497578872.94,38847951453.24,19.72,474546541.73
002247.SZ,帝龙文化,11.35,-0.79,其他家用轻工,信息服务-传媒-其他传媒,887961605.39,9737682800.56,18.69,166268770.38
300072.SZ,三聚环保,27.86,7.73,其他化学制品,公用事业-环保工程-环保工程及服务,4396505559.57,46793109442.44,13.84,584898323.20
600500.SH,中化国际,7.64,0.93,其他化学原料,化工-化学制品-其他化学制品,14117450238.15,15768405919.47,4.99,221611830.26
300005.SZ,探路者,4.89,-0.81,其他服装,纺织服装-服装家纺-其他服装,439694317.45,4411904824.80,3.94,19087429.87
002516.SZ,旷达科技,4.05,0.50,其他纺织,纺织服装-纺织制造-其他纺织,419889998.81,6054643193.56,16.79,69597643.33
002008.SZ,大族激光,55.00,2.14,其他电子,电子-其他电子-其他电子Ⅲ,1692063719.23,57461463443.25,21.53,176550906.04
